structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
mvtable_mutable,panda,bookshelf_small,28,0.048,2324,true,0.000075572,0.000163694,9,5
capt,panda,bookshelf_small,28,0.048,2324,true,0.000210162,0.003464894,9,5
kiddo,panda,bookshelf_small,28,0.048,2324,true,0.000499274,0.000113975,9,5
mvtable_simd,panda,bookshelf_small,28,0.048,2324,true,0.000071688,0.000163285,9,5
mvtable_mutable_simd,panda,bookshelf_small,28,0.048,2324,true,0.000065713,0.000162657,9,5
capt_simd,panda,bookshelf_small,28,0.048,2324,true,0.000138622,0.004104232,9,5
mvtable,panda,bookshelf_small,29,0.048,2399,true,0.00043202,0.00015567,84,6
mvtable_mutable,panda,bookshelf_small,29,0.048,2399,true,0.000387476,0.000173818,84,6
capt,panda,bookshelf_small,29,0.048,2399,true,0.0009873,0.003445113,84,6
kiddo,panda,bookshelf_small,29,0.048,2399,true,0.000855437,0.000104326,84,6
mvtable_simd,panda,bookshelf_small,29,0.048,2399,true,0.00042708,0.000169651,84,6
mvtable_mutable_simd,panda,bookshelf_small,29,0.048,2399,true,0.000385685,0.00017541,84,6
capt_simd,panda,bookshelf_small,29,0.048,2399,true,0.000425551,0.004138137,84,6
mvtable,panda,bookshelf_small,30,0.048,2374,true,0.000323606,0.000171042,21,7
mvtable_mutable,panda,bookshelf_small,30,0.048,2374,true,0.00030177,0.000169972,21,7
capt,panda,bookshelf_small,30,0.048,2374,true,0.00081915,0.003393577,21,7
kiddo,panda,bookshelf_small,30,0.048,2374,true,0.000496879,0.000101256,21,7
mvtable_simd,panda,bookshelf_small,30,0.048,2374,true,0.000304741,0.000141043,21,7
mvtable_mutable_simd,panda,bookshelf_small,30,0.048,2374,true,0.000290129,0.000172325,21,7
capt_simd,panda,bookshelf_small,30,0.048,2374,true,0.000275218,0.004043563,21,7
mvtable,panda,bookshelf_small,31,0.048,2384,true,0.000070814,0.000170316,1,5
mvtable_mutable,panda,bookshelf_small,31,0.048,2384,true,0.000071084,0.000181005,1,5
capt,panda,bookshelf_small,31,0.048,2384,true,0.000108576,0.003445749,1,5
kiddo,panda,bookshelf_small,31,0.048,2384,true,0.000273709,0.000103012,1,5
mvtable_simd,panda,bookshelf_small,31,0.048,2384,true,0.000069915,0.000147855,1,5
mvtable_mutable_simd,panda,bookshelf_small,31,0.048,2384,true,0.000065501,0.000182064,1,5
capt_simd,panda,bookshelf_small,31,0.048,2384,true,0.000105668,0.004048258,1,5
mvtable,panda,bookshelf_small,32,0.048,2146,true,0.000933614,0.000166782,982,10
mvtable_mutable,panda,bookshelf_small,32,0.048,2146,true,0.000921703,0.000159126,982,10
capt,panda,bookshelf_small,32,0.048,2146,true,0.002134055,0.003159349,982,10
kiddo,panda,bookshelf_small,32,0.048,2146,true,0.003602477,0.000112016,982,10
mvtable_simd,panda,bookshelf_small,32,0.048,2146,true,0.000914704,0.000153476,982,10
mvtable_mutable_simd,panda,bookshelf_small,32,0.048,2146,true,0.000844358,0.000211756,982,10
capt_simd,panda,bookshelf_small,32,0.048,2146,true,0.001513535,0.003719362,982,10
mvtable,panda,bookshelf_small,33,0.048,2383,true,0.000170942,0.000182248,7,9
mvtable_mutable,panda,bookshelf_small,33,0.048,2383,true,0.000166249,0.000178268,7,9
capt,panda,bookshelf_small,33,0.048,2383,true,0.000363193,0.003414884,7,9
kiddo,panda,bookshelf_small,33,0.048,2383,true,0.000636843,0.000109033,7,9
mvtable_simd,panda,bookshelf_small,33,0.048,2383,true,0.000161007,0.00016939,7,9
mvtable_mutable_simd,panda,bookshelf_small,33,0.048,2383,true,0.00015293,0.000179854,7,9
capt_simd,panda,bookshelf_small,33,0.048,2383,true,0.000249528,0.00417544,7,9
mvtable,panda,bookshelf_small,34,0.048,2403,true,0.00012918,0.000163291,7,4
mvtable_mutable,panda,bookshelf_small,34,0.048,2403,true,0.000119025,0.000181955,7,4
capt,panda,bookshelf_small,34,0.048,2403,true,0.000410098,0.003413438,7,4
kiddo,panda,bookshelf_small,34,0.048,2403,true,0.000254344,0.000103646,7,4
